region,POP,PPSQM,LESS18,WA19_64,WCB15_44,MORE65,projPOP,projLESS18,projWA19_64,projWCB15_44,projMORE65,medHOUSE,lessPOV,privINS,pubINS,notINS,denINS,MEDICAID,changeMED,childMED,childELGBL,CHIPS,elgCHIPS,CANCER,HEART,NP,RN,PA,DEN,HYG,PSY,SOC,MD,PCP,FQHC,CMHC,CSNC,RHC,ED,HPSA,visED,visHC,vsDEN
Douglas,"302,506",337.23,"85,901","189,858","60,078","26,747","352,675","84,998","224,037","68,547","43,639","$105,192 ",3.60%,"266,707","15,282","20,575",73.68%,"22,908","7,711","11,181",355,"1,751",729,6.50%,1.10%,285,"4,647",196,280,360,76,165,383,146,1,2,0,0,2,0,20.30%,85.80%,82.60%
Eagle,"55,582",31.77,"13,953","37,339","11,392","4,289","59,284","14,528","37,818","10,858","6,938","$78,517 ",9.50%,"36,057","4,725","10,889",53.80%,"6,911","2,275","4,152",955,633,90,4.60%,2.20%,21,444,19,34,46,14,18,129,32,1,2,1,0,1,0,21.70%,76.90%,68.80%
El Paso,"654,406",12.6,"166,083","414,960","133,833","73,363","33,842","7,223","21,508","6,545","5,111","$57,072 ",11.40%,"480,774","100,432","72,711",65.70%,"151,182","41,796","71,827","6,254","5,472","5,189",5.90%,2.00%,426,"6,966",272,517,440,280,473,964,270,13,9,5,1,3,2,22.30%,83.10%,65.40%
Elbert,"24,069",280.53,"5,434","15,688","3,865","2,948","728,610","181,947","444,580","151,337","102,083","$80,972 ",6.70%,"20,008","2,286","1,854",49.40%,"2,795",939,"1,365",47,166,137,3.80%,2.60%,15,299,3,6,23,4,5,5,3,1,1,0,0,0,0,21.50%,72.30%,64.80%
Fremont,"48,836",31.33,"8,385","31,291","6,494","9,160","50,677","8,473","31,011","7,271","11,193","$41,412 ",19.70%,"23,395","14,369","9,268",49.70%,"12,202","3,028","4,897",96,412,357,8.10%,4.70%,18,505,12,18,23,10,27,33,18,1,1,0,5,1,7,23.40%,78.70%,56.20%
Garfield,"59,306",19.29,"16,066","37,451","11,545","5,791","66,558","17,321","39,947","12,501","9,289","$57,364 ",12.40%,"35,705","8,551","12,008",53.80%,"12,973","3,490","7,246",798,"1,083","1,199",6.40%,2.40%,28,507,19,37,30,5,34,119,39,2,2,0,2,1,0,21.70%,76.90%,68.80%
Gilpin,"5,637",34.61,"1,025","3,895",869,718,"6,315","1,223","3,930","1,017","1,162","$64,962 ",8.10%,"4,708",408,563,63.90%,999,357,363,1,45,16,1.30%,1.00%,3,57,0,0,0,3,0,1,1,1,1,0,0,0,1,19.40%,87.70%,56.10%
Grand,"15,016",7.82,"2,953","10,067","2,483","1,997","16,848","3,226","10,280","2,820","3,342","$57,312 ",11.00%,"10,253","1,344","3,097",53.80%,"2,167",834,922,272,186,26,1.90%,0.70%,9,116,1,5,6,3,4,19,13,0,1,0,1,1,0,21.70%,76.90%,68.80%
Gunnison,"15,982",4.68,"3,073","11,260","3,369","1,649","17,190","3,401","11,519","3,579","2,270","$48,391 ",13.70%,"9,829","2,634","3,332",40.60%,"3,010","1,204","1,177",135,231,109,5.10%,1.20%,6,126,8,8,13,2,5,18,8,0,1,0,0,1,0,10.70%,71.60%,62.30%
Hinsdale,853,0.77,186,487,117,179,951,222,517,158,212,"$52,188 ",10.60%,541,145,183,40.60%,164,162,0,7,N/A,6,N/A,N/A,1,6,0,0,0,0,0,1,1,0,0,0,1,0,0,10.70%,71.60%,62.30%
Huerfano,"6,561",5.07,"1,088","3,626",837,"1,847","7,112","1,283","3,580","1,028","2,248","$32,418 ",22.80%,"3,353","2,059","1,328",50.40%,"2,569",634,913,14,51,51,9.30%,3.90%,5,66,1,1,0,0,3,12,7,1,1,1,0,1,0,23.90%,73.00%,55.70%
Jackson,"1,394",0.89,265,858,201,270,"1,473",279,876,249,318,"$43,549 ",15.70%,963,126,291,42.50%,304,98,134,26,32,2,N/A,N/A,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,24.20%,78.60%,65.00%
Jefferson,"545,799",702.53,"116,252","350,450","98,901","79,097","595,037","117,527","366,251","107,804","111,259","$68,161 ",9.10%,"415,115","72,461","68,211",62.00%,"89,786","26,417","39,695","3,548","4,503","2,120",6.50%,3.10%,435,"7,290",338,419,451,210,504,"1,025",331,4,12,3,0,3,2,18.30%,81.30%,65.50%
Kiowa,"1,463",0.81,315,850,220,298,"1,475",306,825,230,344,"$42,378 ",12.90%,788,428,179,50.40%,401,144,160,12,33,7,N/A,N/A,0,21,1,0,0,0,0,1,1,0,1,0,1,1,0,23.90%,73.00%,55.70%
Kit Carson,"8,235",3.88,"1,774","5,115","1,212","1,346","8,395","1,783","5,127","1,260","1,485","$39,633 ",15.10%,"4,664","2,535","1,057",49.40%,"1,908",488,"1,019",70,180,43,6.20%,2.10%,3,63,1,2,5,0,2,4,4,1,1,0,2,1,0,21.50%,72.30%,64.80%
La Plata,"55,104",21.75,"11,373","36,314","10,759","7,418","63,480","2,262","5,568","1,826","1,098","$58,675 ",12.40%,"32,926","8,822","11,161",52.20%,"10,002","3,069","4,261",451,759,365,7.30%,4.20%,45,795,33,43,43,25,68,156,35,0,3,0,0,1,3,21.90%,77.90%,63.20%
Lake,"7,839",29.84,"1,966","5,116","1,559",756,"8,928","12,495","39,899","13,040","11,086","$47,547 ",14.70%,"3,652","2,243","1,447",49.70%,"1,913",614,"1,016",15,106,56,5.70%,2.30%,2,59,7,3,3,2,1,2,2,0,1,0,1,0,0,23.40%,78.70%,56.20%
Larimer,"316,031",111.68,"66,720","207,838","67,500","41,473","356,900","73,249","225,344","76,228","58,307","$59,337 ",13.80%,"239,211","42,319","34,910",63.30%,"58,531","17,946","25,809","1,131","3,226","1,740",6.40%,3.10%,211,"4,219",166,254,278,175,295,658,220,3,8,1,0,4,0,13.80%,79.40%,67.90%
Las Animas,"15,803",3.49,"3,213","9,464","2,475","3,127","15,997","3,224","8,802","2,489","3,972","$38,547 ",18.00%,"7,581","4,885","2,898",50.40%,"4,964","1,277","1,925",165,164,177,5.60%,6.00%,7,167,0,5,5,0,1,15,11,0,1,2,2,1,0,23.90%,73.00%,55.70%
Lincoln,"5,405",2.19,"1,035","3,435",726,936,"5,792","1,169","3,663",850,960,"$41,510 ",19.10%,"3,083","1,676",699,49.40%,"1,243",375,567,46,52,29,4.70%,2.80%,3,45,1,1,0,0,2,4,3,1,1,0,0,1,2,21.50%,72.30%,64.80%
Logan,"22,437",11.76,"4,477","14,521","3,320","3,439","23,237","4,848","14,332","3,435","4,057","$43,561 ",16.90%,"12,808","6,960","2,903",47.00%,"4,673","1,249","2,154",193,253,119,11.30%,3.10%,9,196,8,9,9,4,1,24,10,1,1,0,1,1,2,22.70%,82.10%,60.90%
Mesa,"150,123",43.17,"34,921","91,091","27,883","24,112","165,695","36,515","96,438","30,807","32,743","$48,108 ",15.40%,"93,850","30,078","25,536",61.30%,"39,193","10,117","18,235","1,180","1,751",232,7.70%,3.40%,92,"1,920",66,97,110,35,79,432,168,2,1,1,0,3,0,17.40%,84.70%,58.30%
Mineral,747,1.13,110,437,93,200,823,138,431,121,254,"$50,286 ",9.90%,348,224,133,50.69%,142,93,0,8,N/A,8,N/A,N/A,1,7,0,1,0,0,0,0,0,0,0,0,1,0,0,25.10%,67.00%,54.90%
Moffat,"13,659",2.98,"3,686","8,356","2,473","1,616","13,981","3,627","8,186","2,579","2,167","$58,890 ",11.50%,"8,735","2,092","2,938",42.50%,"3,539",955,"1,700",195,168,293,5.50%,6.60%,1,118,2,4,17,0,3,19,6,0,2,0,0,2,1,24.20%,78.60%,65.00%
Montezuma,"26,481",12.63,"6,122","15,436","4,373","4,924","29,707","6,915","16,270","5,080","6,522","$43,655 ",19.10%,"16,378","4,388","5,552",52.20%,"8,353","2,337","3,830",224,495,182,5.60%,4.20%,16,295,5,13,16,5,9,33,19,0,1,0,3,1,1,21.90%,77.90%,63.20%
Montrose,"41,751",18.39,"9,905","23,726","7,003","8,120","48,274","10,910","27,246","8,766","10,118","$43,946 ",15.10%,"22,118","8,865","8,554",40.60%,"11,885","3,012","5,765",760,846,130,7.30%,3.40%,16,381,10,35,32,2,16,79,31,0,4,0,2,1,1,10.70%,71.60%,62.30%
Morgan,"29,025",22.1,"8,110","16,746","5,362","4,169","30,309","8,142","17,310","5,520","4,857","$46,332 ",13.50%,"15,882","8,631","3,600",47.00%,"7,774","1,685","4,244",239,434,148,7.60%,3.50%,9,254,7,11,9,3,5,36,18,1,3,0,2,2,0,22.70%,82.10%,60.90%
Otero,"19,328",15.03,"4,720","10,975","3,311","3,633","19,418","4,562","10,721","3,412","4,135","$36,811 ",22.50%,"9,206","5,932","3,520",50.40%,"7,469","1,583","3,298",200,270,215,8.80%,3.40%,12,236,4,5,4,1,3,24,14,2,2,0,2,0,0,23.90%,73.00%,55.70%
Ouray,"4,662",8.68,833,"2,865",661,965,"5,411","1,052","3,125",898,"1,234","$58,137 ",9.80%,"2,377",953,919,40.60%,826,304,309,82,94,14,2.50%,1.70%,7,75,2,8,5,7,8,5,4,0,0,0,0,0,0,10.70%,71.60%,62.30%
Park,"16,825",7.73,"3,150","11,217","2,481","2,459","20,547","4,017","12,794","3,559","3,735","$57,510 ",10.30%,"8,097","4,973","3,208",63.90%,"2,805","1,026","1,065",33,152,124,9.80%,7.10%,7,183,0,2,13,2,7,1,1,0,2,0,0,0,0,19.40%,87.70%,56.10%
Phillips,"4,335",6.68,"1,057","2,377",685,900,"4,328","1,047","2,340",700,941,"$46,805 ",12.40%,"2,505","1,361",568,47.00%,"1,024",277,532,38,72,23,5.10%,10.00%,2,40,0,1,0,0,0,33,5,0,1,0,1,2,1,22.70%,82.10%,60.90%
Pitkin,"17,598",17.63,"3,157","11,980","3,176","2,461","19,190","3,514","12,340","3,506","3,337","$71,012 ",7.30%,"11,846","1,552","3,577",53.80%,"1,443",688,454,314,95,30,6.50%,2.70%,4,147,8,14,15,13,11,44,11,1,1,1,0,1,0,21.70%,76.90%,68.80%
Prowers,"12,730",8.14,"3,408","7,333","2,289","1,988","12,992","3,458","7,143","2,302","2,391","$38,830 ",21.70%,"6,136","3,954","2,346",50.40%,"4,857","1,199","2,358",133,244,144,10.00%,2.30%,10,133,3,5,9,0,2,68,7,4,1,0,2,1,1,23.90%,73.00%,55.70%
Pueblo,"164,280",65.66,"38,826","98,293","30,821","27,160","169,682","36,520","98,217","31,016","34,945","$41,352 ",20.10%,"83,905","56,047","21,991",56.60%,"60,944","14,319","26,222","1,073","1,499",713,7.00%,4.00%,107,"2,339",50,100,135,55,113,396,127,5,4,1,0,2,2,26.40%,71.00%,51.60%
Rio Blanco,"6,868",2.03,"1,707","4,244","1,273",917,"7,400","1,820","4,462","1,399","1,118","$59,364 ",10.70%,"4,221","1,011","1,420",42.50%,"1,232",340,618,94,56,142,8.80%,3.00%,3,57,1,4,31,0,3,9,8,0,2,0,1,2,0,24.20%,78.60%,65.00%
Rio Grande,"12,285",13.81,"3,036","7,152","2,078","2,096","13,165","3,265","7,269","2,299","2,631","$39,834 ",17.90%,"5,857","3,774","2,240",50.70%,"4,692","1,259","2,013",127,234,137,9.30%,4.50%,3,107,8,4,8,1,1,14,7,1,1,0,3,1,0,25.10%,67.00%,54.90%
Routt,"24,277",10.05,"5,066","16,730","4,580","2,481","27,201","5,764","17,538","5,210","3,900","$63,763 ",8.90%,"14,886","3,565","5,006",42.50%,"3,650","1,371","1,477",333,353,500,4.40%,2.00%,16,311,16,25,13,8,24,55,19,0,1,0,0,1,0,24.20%,78.60%,65.00%
Saguache,"6,478",2.23,"1,482","3,889","1,011","1,108","7,065","1,628","3,871","1,211","1,566","$35,310 ",29.40%,"2,986","1,924","1,142",50.70%,"2,622",758,"1,075",65,106,70,3.80%,1.90%,2,44,0,1,3,0,0,4,2,3,1,0,0,0,0,25.10%,67.00%,54.90%
San Juan,697,1.46,136,442,117,119,728,135,440,117,153,"$41,683 ",15.70%,448,120,152,52.20%,171,151,0,6,N/A,5,N/A,N/A,0,7,1,0,0,0,0,1,1,0,0,0,0,0,0,21.90%,77.90%,63.20%
San Miguel,"8,148",6.02,"1,695","5,719","1,573",734,"9,385","2,015","6,163","1,756","1,208","$53,674 ",11.90%,"3,943","1,581","1,525",40.60%,"1,268",489,527,135,97,23,6.00%,0.80%,4,41,5,6,2,5,4,11,3,1,2,0,0,0,2,10.70%,71.60%,62.30%
Sedgwick,"2,428",4.63,485,"1,361",354,582,"2,354",496,"1,232",348,626,"$39,980 ",14.50%,"1,342",729,304,47.00%,661,142,293,20,31,12,N/A,N/A,0,10,2,1,0,0,0,3,3,0,1,0,1,1,0,22.70%,82.10%,60.90%
Summit,"29,499",47.08,"5,533","20,906","5,812","3,061","32,940","6,309","21,917","6,161","4,714","$63,236 ",9.30%,"19,338","2,534","5,840",53.80%,"3,848","1,302","1,822",512,330,48,1.90%,1.60%,19,321,16,30,27,12,13,34,18,1,1,0,0,1,1,21.70%,76.90%,68.80%
Teller,"23,602",40.72,"4,596","15,142","3,444","3,865","26,420","4,621","15,644","4,064","6,156","$62,725 ",8.40%,"20,536","2,757","1,454",63.90%,"4,805","1,490","2,058",6,215,132,7.70%,3.00%,19,352,12,10,25,6,11,19,16,1,3,0,0,1,0,19.40%,87.70%,56.10%
Washington,"4,615",1.88,995,"2,680",663,941,"4,675",944,"2,657",712,"1,073","$45,572 ",14.00%,"2,715","1,475",615,47.00%,971,268,460,41,83,25,12.90%,16.00%,2,37,0,1,1,0,1,1,1,0,1,0,2,0,1,22.70%,82.10%,60.90%
Weld,"268,639",62.59,"72,656","167,001","56,630","28,981","329,759","85,071","202,334","71,054","42,354","$58,404 ",13.20%,"178,357","51,325","39,893",60.80%,"64,615","16,040","34,888","4,496","3,795","3,828",4.60%,2.60%,119,"2,587",71,99,164,56,83,328,145,6,12,0,0,1,2,18.40%,74.70%,59.50%
Yuma,"10,309",4.22,"2,677","5,922","1,754","1,710","10,721","2,824","5,947","1,801","1,950","$45,487 ",13.00%,"5,664","3,078","1,284",47.00%,"2,458",528,"1,294",85,165,53,3.90%,2.70%,1,89,3,2,5,1,3,12,9,0,3,0,0,2,1,22.70%,82.10%,60.90%
